1|1|1
2|2|2
3|3|3
4|3|4
5|4|5
6|5|6
7|6|7
8|6|8
9|7|9
10|8|10
11|9|11
12|10|12
13|10|13
14|10|14
15|10|15
16|11|16
17|12|17
18|12|2
19|13|18
20|14|12
21|14|13
22|14|19
23|14|14
24|15|20
25|16|21
26|17|22
27|17|23
28|17|24
29|18|1
30|18|25
31|18|26
32|18|20
33|18|27
34|18|28
35|18|22
36|18|29
37|19|30
38|19|31
39|20|32
40|21|7
41|22|3
42|23|26
43|24|28
44|24|22
45|24|29
46|25|21
47|26|33
48|27|27
49|28|19
50|28|34
51|29|25
52|30|28
53|30|22
54|30|29
55|30|11
56|30|7
57|30|33
58|30|8
59|30|3
60|30|34
61|30|35
62|30|36
63|31|37
64|31|38
65|32|15
66|33|39
67|34|32
68|35|40
69|36|39
70|37|31
71|38|41
72|39|4
73|40|20
74|41|42
75|42|37
76|43|14
77|43|40
78|43|15
79|44|1
80|44|2
81|44|3
82|44|4
83|44|5
84|44|6
85|44|7
86|44|8
87|44|9
88|44|10
89|44|11
90|44|12
91|44|13
92|44|14
93|44|15
94|44|16
95|44|17
96|44|18
97|44|19
98|44|20
99|44|21
100|44|22
101|44|23
102|44|24
103|44|25
104|44|26
105|44|27
106|44|28
107|44|29
108|44|30
109|44|31
110|44|32
111|44|33
112|44|34
113|44|35
114|44|36
115|44|37
116|44|38
117|44|39
118|44|40
119|44|41
120|44|42
121|45|43
122|45|44
123|46|45
124|47|46
125|47|47
126|47|48
127|48|49
128|48|50
129|48|51
130|48|52
131|49|53
132|50|54
133|51|45
134|52|55
135|53|54
136|54|46
137|55|56
138|56|57
139|57|58
140|57|59
141|58|57
142|59|60
143|60|55
144|61|61
145|62|56
146|63|58
147|63|59
148|64|62
149|64|63
150|65|46
151|66|62
152|66|63
153|66|64
154|66|49
155|66|65
156|66|50
157|66|51
158|67|66
159|68|67
160|68|68
161|69|69
162|69|61
163|69|70
164|70|58
165|70|59
166|70|71
167|71|72
168|72|49
169|72|50
170|72|51
171|73|73
172|74|74
173|74|72
174|75|53
175|75|46
176|75|47
177|75|48
178|22|74
179|22|72
180|76|55
181|77|62
182|77|75
183|77|63
184|77|76
185|78|59
186|79|77
187|80|75
188|80|64
189|80|49
190|80|50
191|80|51
192|81|44
193|82|75
194|83|60
195|84|78
196|85|69
197|86|47
198|87|46
199|88|45
200|89|68
201|90|62
202|91|60
203|92|79
204|93|45
205|94|63
206|95|71
207|96|77
208|97|80
209|98|64
210|98|65
211|99|73
212|99|69
213|99|65
214|99|78
215|99|81
216|100|76
217|100|67
218|101|80
219|101|82
220|102|43
221|102|80
222|103|69
223|103|64
224|103|65
225|103|81
226|104|73
227|104|69
228|105|82
229|106|56
230|107|75
231|107|81
232|107|79
233|108|70
234|109|63
235|110|45
236|111|76
237|111|67
238|112|66
239|113|61
240|113|76
241|113|60
242|113|71
243|113|56
244|114|43
245|114|44
246|114|45
247|114|46
248|114|47
249|114|48
250|114|49
251|114|50
252|114|51
253|114|52
254|114|53
255|114|54
256|114|55
257|114|56
258|114|57
259|114|58
260|114|59
261|114|60
262|114|61
263|114|62
264|114|63
265|114|64
266|114|65
267|114|66
268|114|67
269|114|68
270|114|69
271|114|70
272|114|71
273|114|72
274|114|73
275|114|74
276|114|75
277|114|76
278|114|77
279|114|78
280|114|79
281|114|80
282|114|81
283|114|82
284|115|83
285|115|84
286|116|85
287|117|61
288|117|76
289|117|60
290|117|71
291|117|56
292|118|86
293|118|87
294|60|88
295|60|89
296|60|86
297|119|90
298|119|91
299|120|86
300|121|92
301|122|92
302|122|93
303|123|89
304|124|93
305|91|85
306|125|85
307|126|88
308|127|94
309|127|95
310|128|94
311|128|95
312|129|92
313|130|89
314|131|96
315|132|97
316|133|83
317|133|84
318|100|86
319|100|87
320|134|92
321|135|93
322|135|96
323|136|87
324|137|95
325|113|83
326|113|84
327|113|85
328|113|86
329|113|87
330|113|88
331|113|89
332|113|90
333|113|91
334|113|92
335|113|93
336|113|94
337|113|95
338|113|96
339|113|97
340|138|98
341|139|99
342|140|100
343|141|100
344|142|100
345|143|98
346|144|101
347|145|102
348|145|103
349|146|104
350|147|105
351|148|100
352|149|101
353|150|106
354|150|107
355|150|108
356|150|109
357|150|110
358|150|111
359|150|112
360|151|106
361|152|102
362|152|103
363|153|113
364|154|114
365|155|109
366|155|110
367|14|104
368|14|99
369|14|114
370|14|113
371|14|98
372|14|101
373|14|115
374|14|102
375|14|106
376|14|107
377|14|103
378|14|108
379|14|105
380|14|109
381|14|110
382|14|111
383|14|112
384|156|107
385|157|116
386|158|117
387|159|118
388|160|119
389|161|117
390|162|118
391|163|118
392|34|119
393|34|117
394|34|120
395|164|121
396|165|122
397|166|123
398|167|124
399|167|125
400|167|126
401|168|119
402|169|117
403|141|118
404|170|121
405|171|119
406|171|121
407|171|127
408|171|128
409|171|123
410|172|120
411|173|127
412|173|128
413|173|122
414|173|124
415|173|125
416|173|126
417|14|121
418|14|118
419|14|127
420|14|128
421|14|123
